ลำดับ,รหัสข้อ,หมวด/ด้าน,ระดับ,รายการข้อคำถาม,+1,0,-1,ข้อเสนอแนะ/ข้อคิดเห็นเพิ่มเติม
1,1,ส่วนที่ 1 ข้อมูลทั่วไปของผู้เชี่ยวชาญ,หลัก,"เพศ (ชาย / หญิง)",,,,
2,2,ส่วนที่ 1 ข้อมูลทั่วไปของผู้เชี่ยวชาญ,หลัก,"อายุ (ต่ำกว่า 35 ปี / 35-45 ปี / 46-55 ปี / มากกว่า 55 ปี)",,,,
3,3,ส่วนที่ 1 ข้อมูลทั่วไปของผู้เชี่ยวชาญ,หลัก,"วุฒิการศึกษา (ต่ำกว่าปริญญาตรี / ปริญญาตรี / ปริญญาโท / ปริญญาเอก)",,,,
4,4,ส่วนที่ 1 ข้อมูลทั่วไปของผู้เชี่ยวชาญ,หลัก,"ตำแหน่งปัจจุบัน",,,,
5,5,ส่วนที่ 1 ข้อมูลทั่วไปของผู้เชี่ยวชาญ,หลัก,"ประสบการณ์ในการทำงาน (3-5 ปี / 6-10 ปี / 11-15 ปี / 15 ปีขึ้นไป)",,,,
6,6,ส่วนที่ 1 ข้อมูลทั่วไปของผู้เชี่ยวชาญ,หลัก,"ประเภทหน่วยงาน (หน่วยงานราชการ/องค์กรของรัฐ/รัฐวิสาหกิจ, บริษัทเอกชน) พร้อมระบุชื่อหน่วยงาน",,,,
7,P1,ด้านที่ 1 การวางแผน (Planning: P),หลัก,"โรงงานมีการวางแผนกลยุทธ์ด้านโลจิสติกส์และห่วงโซ่อุปทานของโรงงานคัดแยกขยะชุมชน ทั้งระยะสั้นและระยะยาว",,,,
8,P1.1,ด้านที่ 1 การวางแผน (Planning: P),ย่อย,"ผู้บริหารต้องมีวิสัยทัศน์และความมุ่งมั่นผลักดันกลยุทธ์อย่างจริงจัง เป็นปัจจัยภายในที่สำคัญที่สุดต่อความสำเร็จของการวางแผนเชิงกลยุทธ์ (ผู้เชี่ยวชาญ 1, 5)",,,,
9,P1.2,ด้านที่ 1 การวางแผน (Planning: P),ย่อย,"การวางกลยุทธ์ต้องบูรณาการ 3 องค์ประกอบไปพร้อมกัน คือ คน กระบวนการ และเทคโนโลยี เนื่องจากขาดองค์ประกอบใดองค์ประกอบหนึ่งจะทำให้กลยุทธ์ไม่สำเร็จ (ผู้เชี่ยวชาญ 2)",,,,
10,P1.3,ด้านที่ 1 การวางแผน (Planning: P),ย่อย,"กลยุทธ์ระยะยาวต้องคำนึงถึงปัจจัยภายนอกที่ควบคุมไม่ได้ เช่น นโยบายภาครัฐ ราคาตลาดวัสดุรีไซเคิลที่ผันผวน และความร่วมมือของชุมชนต้นทาง (ผู้เชี่ยวชาญ 1, 2, 4)",,,,
11,P2,ด้านที่ 1 การวางแผน (Planning: P),หลัก,"โรงงานมีการวางแผนการรวบรวม ขนส่ง คัดแยก และส่งต่อวัสดุรีไซเคิลตลอดห่วงโซ่อุปทานจากต้นน้ำถึงปลายน้ำ",,,,
12,P2.1,ด้านที่ 1 การวางแผน (Planning: P),ย่อย,"การวางแผนเส้นทางรับ-ขนส่งวัสดุยังไม่เป็นระบบ รถวิ่งไม่เต็มประสิทธิภาพเนื่องจากจุดรับกระจายตัวห่างกัน ควรวางแผนเส้นทางและตารางเวลาล่วงหน้าให้รถวนรับวัสดุในพื้นที่ใกล้เคียงกัน (ผู้เชี่ยวชาญ 1, 2)",,,,
13,P2.2,ด้านที่ 1 การวางแผน (Planning: P),ย่อย,"จุดตรวจรับและจุดชั่งน้ำหนักเป็นคอขวดสำคัญในกระบวนการ ทำให้รถต้องรอคิวนานและเกิดต้นทุนแฝง ควรปรับผังโรงงานและเพิ่มจุดรับให้เพียงพอ (ผู้เชี่ยวชาญ 3)",,,,
